date,content,tweet_url,embedded_links,section,merged_section
2025-07-01 19:25:06+00:00,Rare earth magnet users jolted into paying premium prices for ex-China supply http://reut.rs/44IgioO,https://x.com/Reuters/status/1940129553659093207,"['https://www.reuters.com/sustainability/climate-energy/rare-earth-magnet-users-jolted-into-paying-premium-prices-ex-china-supply-2025-07-01/?taid=686436116360160001572ab3&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/sustainability/climate-energy/rare-earth-magnet-users-jolted-into-paying-premium-prices-ex-china-supply-2025-07-01/?taid=686436116360160001572ab3&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/sustainability/climate-energy/rare-earth-magnet-users-jolted-into-paying-premium-prices-ex-china-supply-2025-07-01/?taid=686436116360160001572ab3&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",Business,Business
2025-07-01 19:15:08+00:00,"Poland to start controls on borders with Germany, Lithuania over migration http://reut.rs/4lxmKVb",https://x.com/Reuters/status/1940127048934080673,"['https://www.reuters.com/world/europe/poland-introduce-controls-borders-with-germany-lithuania-pm-says-2025-07-01/?taid=686433bccecb2500018a1169&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/world/europe/poland-introduce-controls-borders-with-germany-lithuania-pm-says-2025-07-01/?taid=686433bccecb2500018a1169&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/world/europe/poland-introduce-controls-borders-with-germany-lithuania-pm-says-2025-07-01/?taid=686433bccecb2500018a1169&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",Politics,Politics
2025-07-01 19:10:06+00:00,US stock market: Key questions as second half of 2025 kicks off http://reut.rs/4esFLFY,https://x.com/Reuters/status/1940125780786168224,"['https://www.reuters.com/markets/wealth/six-questions-facing-us-stock-investors-2025s-second-half-kicks-off-2025-07-01/?taid=6864328ef6e662000164b160&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/markets/wealth/six-questions-facing-us-stock-investors-2025s-second-half-kicks-off-2025-07-01/?taid=6864328ef6e662000164b160&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/markets/wealth/six-questions-facing-us-stock-investors-2025s-second-half-kicks-off-2025-07-01/?taid=6864328ef6e662000164b160&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",Finance,Finance
2025-07-01 19:10:00+00:00,"This humanoid robot fitted with a jetpack has shown it can fly, and its makers say it could one day be used in real world disaster scenarios",https://x.com/Reuters/status/1940125754513301794,[],Technology,Technology
2025-07-01 19:05:06+00:00,Danish national arrested for allegedly spying on Jewish targets in Berlin for Iran http://reut.rs/40wl861,https://x.com/Reuters/status/1940124521844912611,"['https://www.reuters.com/world/europe/danish-citizen-arrested-suspicion-spying-iran-german-prosecutors-say-2025-07-01/?taid=686431626360160001572a4b&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/world/europe/danish-citizen-arrested-suspicion-spying-iran-german-prosecutors-say-2025-07-01/?taid=686431626360160001572a4b&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/world/europe/danish-citizen-arrested-suspicion-spying-iran-german-prosecutors-say-2025-07-01/?taid=686431626360160001572a4b&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",International News,International News
2025-07-01 19:00:32+00:00,Israeli officials to hold ceasefire talks in Washington amid military escalation in Gaza http://reut.rs/4euQj7q,https://x.com/Reuters/status/1940123373331198226,"['https://www.reuters.com/world/middle-east/israeli-officials-hold-ceasefire-talks-washington-amid-military-escalation-gaza-2025-07-01/?taid=6864305093c51600010af889&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/world/middle-east/israeli-officials-hold-ceasefire-talks-washington-amid-military-escalation-gaza-2025-07-01/?taid=6864305093c51600010af889&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/world/middle-east/israeli-officials-hold-ceasefire-talks-washington-amid-military-escalation-gaza-2025-07-01/?taid=6864305093c51600010af889&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",World News,World News
2025-07-01 19:00:07+00:00," CoreWeave, Circle Internet Group and Chime Financial all enjoyed dizzying success after their stock market debuts. In the latest episode of Viewsroom podcast, 
@Breakingviews
 columnists explain why investors are scrambling to own these companies",https://x.com/Reuters/status/1940123268234572175,"['https://podcasts.apple.com/gb/podcast/us-ipo-bounty-may-be-tricky-to-duplicate/id1064734112?i=1000714601236', 'https://podcasts.apple.com/gb/podcast/us-ipo-bounty-may-be-tricky-to-duplicate/id1064734112?i=1000714601236']",Business,Business
2025-07-01 18:50:05+00:00,"Exclusive: DOGE now targeting SEC policy, eyes SPAC rules, sources say http://reut.rs/40z4W3T",https://x.com/Reuters/status/1940120743066452394,"['https://www.reuters.com/legal/government/doge-now-targeting-sec-policy-eyes-spac-rules-sources-say-2025-07-01/?taid=68642dddb5242f0001e2f280&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/legal/government/doge-now-targeting-sec-policy-eyes-spac-rules-sources-say-2025-07-01/?taid=68642dddb5242f0001e2f280&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/legal/government/doge-now-targeting-sec-policy-eyes-spac-rules-sources-say-2025-07-01/?taid=68642dddb5242f0001e2f280&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",Finance,Finance
2025-07-01 18:50:00+00:00,"President Trump said that if New York City Democratic mayoral nominee Zohran Mamdani interferes with Immigration and Customs Enforcement, then 'we'll have to arrest him' https://reut.rs/44tfRgG",https://x.com/Reuters/status/1940120721826422886,['https://www.reuters.com/world/us/mamdani-officially-secures-nomination-new-york-city-mayor-2025-07-01/'],Politics,Politics
2025-07-01 18:45:07+00:00,"EU wants upfront relief for key sectors in any US trade deal, sources say http://reut.rs/44st9dA",https://x.com/Reuters/status/1940119491964219817,"['https://www.reuters.com/business/eu-wants-upfront-relief-key-sectors-any-us-trade-deal-sources-say-2025-07-01/?taid=68642cb3f6e662000164b07b&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/business/eu-wants-upfront-relief-key-sectors-any-us-trade-deal-sources-say-2025-07-01/?taid=68642cb3f6e662000164b07b&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'https://www.reuters.com/business/eu-wants-upfront-relief-key-sectors-any-us-trade-deal-sources-say-2025-07-01/?taid=68642cb3f6e662000164b07b&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter']",Business,Business
